reference_number,gazetted_names,local_name,survey_length_m,electrofishing,minnowtrapping,uav_survey,hab_value,priority,comments,upstream_habitat_length_m,species_codes,future_sampling_recommended,Notes
1,Lodgepole Creek,197786_us,580,,,,medium,moderate,Small stream with good flow. Abundant gravels suitable for spawning throughout the first ~300m then pockets throughout. Large waterfall >30m at top end of site ~540m u/s of culvert. Some shallow pools present intermittently created by large woody debris. ,580,,,
2,Lodgepole Creek,197786_ds,540,,,,medium,moderate,Very small stream that connects to Lodgepole Lake. Channel subsurface approximately 160m to Lake. Substrate primarily gravel to culvert. Abundant gravels available for spawning in upper stream 300m below culvert. Several deep pools suitable for overwintering westslope cutthroat trout. 2 steps 30cm high and 80cm high observed in channel due to small woody debris. ,,,,
3,Lodgepole Creek,197787_ds,285,,,,medium,moderate,Stream drains Lodgepole Lake with deep pools intermittent. Stream gradients increase with downstream distance. Abundant gravels suitable for westslope cutthroat trout spawning . Stream flows adjacent to road. ,,,,
4,Lodgepole Creek,197787_us,315,,,,high,moderate,Drains out of Lodgepole Lake. Beaver Dam (1.2m) at lake. Abundant gravels suitable for spawning throughout. Stream primarily had low complexity due to the primarily straight riffle type habitat.  Some shallow pools and large woody debris present.,1125,WCT,,
5,Bean Creek,197793_us,900,,,,low,low,"Dry stream, no water. Has very large channel and shows evidence of extensive scour and large volumes of water but completely dry. ",1800,,,
6,Bean Creek,197793_ds,340,,,,low,low,Dry channel. Good overhanging vegetation for fish shelter. Steep eroded banks. Some gravels for spawning.,,,,
7,Dry Creek,62182_us,30,,,,high,high,"FHAP conducted here by other crews. High value habitat due to flow and size, occasional pockets of gravel and intermittent pools. ",25,WCT,,
8,Dry Creek,62182_ds,500,,,,high,high,"Frequent pools and undercut banks, especially further downstream. Substrate in among trees higher up than normal suggesting high flows and channel movement. Lots of fine sediment settled in pools and on substrate. ",,,,
9,Kisoo Creek,50063_us,370,,,,medium,moderate,Fairly steep system with frequent pockets of gravels available for spawning. Cold high elevation system with good flow and abundant undercut banks.,1280,,,
10,Kisoo Creek,50063_ds,270,,,,medium,moderate,"No barriers, abundant gravels suitable for westslope cutthroat trout spawning throughout. Meanders on Harvey Creek floodplain. Good flow. Ranked as high priority for follow up in Irvine 2021. ",,,,
